nominal,data,curs,cdx
1,08.11.2018,"66,0918",Доллар США
1,09.11.2018,"66,2155",Доллар США
1,10.11.2018,"66,8497",Доллар США
1,13.11.2018,"67,5238",Доллар США
1,14.11.2018,"67,6812",Доллар США
1,15.11.2018,"67,9975",Доллар США
1,16.11.2018,"66,6159",Доллар США
1,17.11.2018,"65,9931",Доллар США
1,20.11.2018,"66,0081",Доллар США
1,21.11.2018,"65,5871",Доллар США
1,22.11.2018,"65,9485",Доллар США
1,23.11.2018,"65,6067",Доллар США
1,24.11.2018,"65,6664",Доллар США
1,27.11.2018,"66,5072",Доллар США
1,28.11.2018,"66,7800",Доллар США
1,29.11.2018,"66,9436",Доллар США
1,30.11.2018,"66,6342",Доллар США
1,01.12.2018,"66,5335",Доллар США
1,04.12.2018,"66,2921",Доллар США
1,05.12.2018,"66,4467",Доллар США
1,06.12.2018,"66,8242",Доллар США
1,07.12.2018,"66,7377",Доллар США
1,08.12.2018,"66,9227",Доллар США
1,11.12.2018,"66,2416",Доллар США
1,12.12.2018,"66,5022",Доллар США
1,13.12.2018,"66,4225",Доллар США
1,14.12.2018,"66,2550",Доллар США
1,15.12.2018,"66,4337",Доллар США
1,18.12.2018,"66,6208",Доллар США
1,19.12.2018,"66,7454",Доллар США
1,20.12.2018,"67,1121",Доллар США
1,21.12.2018,"67,3710",Доллар США
1,22.12.2018,"68,0085",Доллар США
1,25.12.2018,"68,4073",Доллар США
1,26.12.2018,"68,7448",Доллар США
1,27.12.2018,"68,8865",Доллар США
1,28.12.2018,"68,8762",Доллар США
1,29.12.2018,"69,5218",Доллар США
1,30.12.2018,"69,4706",Доллар США
1,10.01.2019,"67,0795",Доллар США
1,11.01.2019,"66,8605",Доллар США
1,12.01.2019,"66,9167",Доллар США
1,15.01.2019,"67,1920",Доллар США
1,16.01.2019,"67,0820",Доллар США
1,17.01.2019,"66,7617",Доллар США
1,18.01.2019,"66,4438",Доллар США
1,19.01.2019,"66,3309",Доллар США
1,22.01.2019,"66,3634",Доллар США
1,23.01.2019,"66,5499",Доллар США
1,24.01.2019,"66,3318",Доллар США
1,25.01.2019,"66,0016",Доллар США
1,26.01.2019,"65,9170",Доллар США
1,29.01.2019,"65,9300",Доллар США
1,30.01.2019,"66,3412",Доллар США
1,31.01.2019,"66,0987",Доллар США
1,01.02.2019,"65,3577",Доллар США
1,02.02.2019,"65,6601",Доллар США
1,05.02.2019,"65,5859",Доллар США
1,06.02.2019,"65,5691",Доллар США
1,07.02.2019,"65,6686",Доллар США
1,08.02.2019,"66,0199",Доллар США
1,09.02.2019,"66,0628",Доллар США
1,12.02.2019,"65,6517",Доллар США
1,13.02.2019,"65,7147",Доллар США
1,14.02.2019,"65,6783",Доллар США
1,15.02.2019,"66,5429",Доллар США
1,16.02.2019,"66,7044",Доллар США
1,19.02.2019,"66,2470",Доллар США
1,20.02.2019,"66,2022",Доллар США
1,21.02.2019,"65,8568",Доллар США
1,22.02.2019,"65,5401",Доллар США
1,23.02.2019,"65,5149",Доллар США
1,26.02.2019,"65,2582",Доллар США
1,27.02.2019,"65,6182",Доллар США
1,28.02.2019,"65,7570",Доллар США
1,01.03.2019,"65,8895",Доллар США
1,02.03.2019,"65,8145",Доллар США
1,05.03.2019,"65,7956",Доллар США
1,06.03.2019,"65,8004",Доллар США
1,07.03.2019,"65,8430",Доллар США
1,08.03.2019,"65,9646",Доллар США
1,12.03.2019,"66,0763",Доллар США
1,13.03.2019,"65,7674",Доллар США
1,14.03.2019,"65,5890",Доллар США
1,15.03.2019,"65,4021",Доллар США
1,16.03.2019,"65,4201",Доллар США
1,19.03.2019,"64,6694",Доллар США
1,20.03.2019,"64,3167",Доллар США
1,21.03.2019,"64,2803",Доллар США
1,22.03.2019,"63,7420",Доллар США
1,23.03.2019,"63,7705",Доллар США
1,26.03.2019,"64,4993",Доллар США
1,27.03.2019,"64,1683",Доллар США
1,28.03.2019,"64,5925",Доллар США
1,29.03.2019,"64,8012",Доллар США
1,30.03.2019,"64,7347",Доллар США
1,02.04.2019,"65,4176",Доллар США
1,03.04.2019,"65,4726",Доллар США
1,04.04.2019,"65,1639",Доллар США
1,05.04.2019,"65,3281",Доллар США
1,06.04.2019,"65,4072",Доллар США
1,09.04.2019,"65,3498",Доллар США
1,10.04.2019,"64,7766",Доллар США
1,11.04.2019,"64,7373",Доллар США
1,12.04.2019,"64,3991",Доллар США
1,13.04.2019,"64,5171",Доллар США
1,16.04.2019,"64,2469",Доллар США
1,17.04.2019,"64,2422",Доллар США
1,18.04.2019,"63,9450",Доллар США
1,19.04.2019,"64,0688",Доллар США
1,20.04.2019,"63,9602",Доллар США
1,23.04.2019,"63,7860",Доллар США
1,24.04.2019,"63,7906",Доллар США
1,25.04.2019,"63,9798",Доллар США
1,26.04.2019,"64,6794",Доллар США
1,27.04.2019,"64,7053",Доллар США
1,30.04.2019,"64,6917",Доллар США
1,01.05.2019,"64,6314",Доллар США
1,07.05.2019,"65,3350",Доллар США
1,08.05.2019,"65,2166",Доллар США
1,09.05.2019,"65,2287",Доллар США
1,14.05.2019,"65,4703",Доллар США
1,15.05.2019,"65,3001",Доллар США
1,16.05.2019,"64,8489",Доллар США
1,17.05.2019,"64,5598",Доллар США
1,18.05.2019,"64,6327",Доллар США
1,21.05.2019,"64,4888",Доллар США
1,22.05.2019,"64,5372",Доллар США
1,23.05.2019,"64,4156",Доллар США
1,24.05.2019,"64,4913",Доллар США
1,25.05.2019,"64,6106",Доллар США
1,28.05.2019,"64,4636",Доллар США
1,29.05.2019,"64,5394",Доллар США
1,30.05.2019,"64,9084",Доллар США
1,31.05.2019,"65,0583",Доллар США
1,01.06.2019,"65,3834",Доллар США
1,04.06.2019,"65,5547",Доллар США
1,05.06.2019,"65,1614",Доллар США
1,06.06.2019,"65,1243",Доллар США
1,07.06.2019,"65,2340",Доллар США
1,08.06.2019,"65,0395",Доллар США
1,11.06.2019,"64,7919",Доллар США
1,12.06.2019,"64,5158",Доллар США
1,14.06.2019,"64,6314",Доллар США
1,15.06.2019,"64,4326",Доллар США
1,18.06.2019,"64,3187",Доллар США
1,19.06.2019,"64,3352",Доллар США
1,20.06.2019,"63,9794",Доллар США
1,21.06.2019,"63,3877",Доллар США
1,22.06.2019,"63,1295",Доллар США
